"Gene","Cluster","logFC","pValue","padj"
"V41351",2,0.959160636284354,0.00066463320369574,0.050108885414346
"V25947",1,0.952510041103492,0.00067887676188789,0.050108885414346
"V9297",1,0.957442414695289,0.00068934073040959,0.050108885414346
"V28110",1,0.972746436311495,0.00069780253972413,0.050108885414346
"V19896",2,0.960500797513662,0.00074715088475571,0.050108885414346
"V20670",1,0.95521469976701,0.0007559685941722,0.050108885414346
"V34224",2,0.953576619162607,0.00075655533420804,0.050108885414346
"V15099",1,0.947854678550382,0.00078206560667457,0.050108885414346
"V10385",1,0.968882678892818,0.00078693033856225,0.050108885414346
"V30236",1,0.981449440943082,0.00079683679910301,0.050108885414346
"V42327",3,0.972020344749455,0.00081239950738648,0.050108885414346
"V14221",2,0.972047915943751,0.00082339723329136,0.050108885414346
"V3530",2,0.950767397743202,0.00082553131477706,0.050108885414346
"V16677",2,0.963917976795314,0.00083083113873181,0.050108885414346
"V35746",1,0.96509724259005,0.00083589499022377,0.050108885414346
"V31712",2,0.951345679023254,0.00083829607393736,0.050108885414346
"V39381",1,0.974139901110916,0.00084018090007099,0.050108885414346
"V17805",3,0.981336257777846,0.00084078986466014,0.050108885414346
"V44073",1,0.958266339150288,0.00084185351646615,0.050108885414346
"V39215",1,0.958947184917228,0.00084207394269932,0.050108885414346
"V9640",1,0.975814995509142,0.00087500337720352,0.050108885414346
"V31336",1,0.965229199998997,0.00089729023961303,0.050108885414346
"V18900",2,0.964325604827443,0.00091361450904691,0.050108885414346
"V31309",3,0.971794374003175,0.00093004706017695,0.050108885414346
"V26611",1,0.973871334774058,0.00095993676849101,0.050108885414346
"V24981",2,0.967853417516915,0.00097926675646482,0.050108885414346
"V15948",1,0.969516436664143,0.00098381293293957,0.050108885414346
"V29873",2,0.947231262548325,0.00101884540613677,0.050108885414346
"V28208",2,0.972609745183059,0.00103587756947832,0.050108885414346
"V20601",3,0.971025745779329,0.00104436247068809,0.050108885414346
"V20192",1,0.973899583401801,0.00104791018567013,0.050108885414346
"V33118",1,0.970110431855872,0.00105553238659464,0.050108885414346
"V21468",3,0.979308271536984,0.00106513920229313,0.050108885414346
"V5802",2,0.97314629185033,0.00106954213407034,0.050108885414346
"V16859",1,0.965162304314197,0.00107099858571748,0.050108885414346
"V972",1,0.944634953557158,0.00108392681393271,0.050108885414346
"V32704",1,0.967888771152793,0.00110043194448332,0.050108885414346
"V39922",2,0.96875042549145,0.00112320738646384,0.050108885414346
"V34510",1,0.97749342972774,0.00112614856989445,0.050108885414346
"V37141",1,0.983699379570211,0.00113092908200034,0.050108885414346
"V9552",1,0.971894552547202,0.00114389124292307,0.050108885414346
"V9228",3,0.970077430000146,0.00114844197225254,0.050108885414346
"V25677",2,0.964401347487957,0.00116188216682388,0.050108885414346
"V28178",1,0.960337146071567,0.00116533806151603,0.050108885414346
"V17719",2,0.965233083875018,0.00117506328493928,0.050108885414346
"V19688",1,0.969590800179917,0.00118171700789159,0.050108885414346
"V32766",1,0.972613566385603,0.00120370414912318,0.050108885414346
"V33482",1,0.974454721313262,0.00120486991755039,0.050108885414346
"V16206",1,0.979665204998515,0.00120647710344467,0.050108885414346
"V10013",1,0.963390216761688,0.00121319731597715,0.050108885414346
"V37474",1,0.979309912710248,0.00121631926518873,0.050108885414346
"V2540",2,0.947892957416098,0.00122266426238423,0.050108885414346
"V36765",1,0.975804970559624,0.0012305885104786,0.050108885414346
"V25829",1,0.972106668769275,0.00125242631229792,0.050108885414346
"V12457",2,0.956319421939316,0.00125727327939751,0.050108885414346
"V10316",1,0.980058207373738,0.00125824492903604,0.050108885414346
"V870",2,0.960645660207746,0.00126003931041822,0.050108885414346
"V27781",1,0.963998213009159,0.0012636120299616,0.050108885414346
"V30123",2,0.974669248248296,0.00126730920045443,0.050108885414346
"V12882",1,0.960249986069778,0.00128955350220347,0.050108885414346
"V22490",2,0.969527505244516,0.0012908050636622,0.050108885414346
"V41503",2,0.970906943074757,0.00129323158542124,0.050108885414346
"V36351",2,0.955711179641723,0.00129911164228169,0.050108885414346
"V28252",2,0.972223835525668,0.00130499862479218,0.050108885414346
"V37224",2,0.95994283149059,0.00130889288095942,0.050108885414346
"V28770",1,0.967354463437136,0.00135018400736426,0.050108885414346
"V43465",2,0.96833399704489,0.00135614881866544,0.050108885414346
"V37604",1,0.96728100715726,0.00135855875201147,0.050108885414346
"V230",1,0.966911504377421,0.00137596964624799,0.050108885414346
"V1342",1,0.974477863161686,0.00139032756664857,0.050108885414346
"V12731",1,0.965469421945711,0.00139700767576034,0.050108885414346
"V17984",2,0.974993607002615,0.00140930252557893,0.050108885414346
"V5630",2,0.963879240262797,0.00142121960339217,0.050108885414346
"V7457",2,0.951413829638446,0.00143494594461779,0.050108885414346
"V33682",2,0.962291398818301,0.00143608943489989,0.050108885414346
"V21203",2,0.962726553553693,0.00145814486585177,0.050108885414346
"V24825",2,0.971643121781532,0.0014651861640473,0.050108885414346
"V21455",1,0.957012877914553,0.00148667368556764,0.050108885414346
"V20288",1,0.980110168558379,0.0014889536113793,0.050108885414346
"V1044",1,0.943088762248894,0.0015064293240421,0.050108885414346
"V5005",3,0.981919391232958,0.00151803830483763,0.050108885414346
"V23139",1,0.973068613525474,0.00151903448941506,0.050108885414346
"V23652",3,0.973594200693619,0.00152053523515944,0.050108885414346
"V29760",2,0.970419369390629,0.00152479520762807,0.050108885414346
"V24546",1,0.943797535538251,0.00154215553840045,0.050108885414346
"V27651",2,0.957670670356924,0.00155225785799499,0.050108885414346
"V25825",1,0.974045746797673,0.00155611543630447,0.050108885414346
"V31915",2,0.960538881154671,0.00156075918995366,0.050108885414346
"V36158",1,0.980624072846611,0.00156526603202029,0.050108885414346
"V5821",2,0.962165204247121,0.00156710575359539,0.050108885414346
"V12128",1,0.979037939818925,0.00156997671242515,0.050108885414346
"V20880",1,0.945010508880532,0.00158634898133742,0.050108885414346
"V4171",3,0.967288914808945,0.00159367792927067,0.050108885414346
"V28584",1,0.962961962279589,0.00159378727034733,0.050108885414346
"V2717",2,0.950467333132724,0.0015943704203031,0.050108885414346
"V11325",2,0.97174117449692,0.00159533232491447,0.050108885414346
"V24115",2,0.979036827850351,0.00159574424301825,0.050108885414346
"V24123",1,0.972126146745751,0.00160200598669009,0.050108885414346
"V42415",1,0.97372153027991,0.00160848158163483,0.050108885414346
"V37353",1,0.972222813546402,0.00161388179908224,0.050108885414346
"V3623",2,0.956620840852507,0.00161973647011591,0.050108885414346
"V20612",1,0.945720051707498,0.00161974353914429,0.050108885414346
"V24109",1,0.968172906157508,0.00163096674713298,0.050108885414346
"V3509",2,0.970947201039747,0.00163462128311871,0.050108885414346
"V830",2,0.91829235615489,0.00165991486633507,0.050108885414346
"V25512",2,0.960486013983892,0.00166806047397596,0.050108885414346
"V20890",2,0.969489559687014,0.00166860006830389,0.050108885414346
"V44477",1,0.962072016324752,0.00170800611625142,0.050108885414346
"V35527",2,0.961858406442108,0.00171477788668316,0.050108885414346
"V16167",1,0.953779981927339,0.001715304712766,0.050108885414346
"V34603",2,0.948142945657801,0.00172355587028417,0.050108885414346
"V26995",1,0.978581795639617,0.00172383717436523,0.050108885414346
"V22730",2,0.970461596903439,0.00172966798031009,0.050108885414346
"V744",2,0.958881123349232,0.00173026948437694,0.050108885414346
"V12630",1,1.0310267219203,0.00173682928105402,0.050108885414346
"V7405",1,0.948571952069634,0.00174222086022882,0.050108885414346
"V41708",1,0.963082123328147,0.00175723886988641,0.050108885414346
"V25885",2,0.957502389276058,0.00176202172266106,0.050108885414346
"V40834",3,0.976315047486397,0.00178045066490518,0.050108885414346
"V31170",2,0.965485469588003,0.00178941229093357,0.050108885414346
"V40203",2,0.959389956156154,0.00180548594136296,0.050108885414346
"V10169",1,0.976496571180886,0.00181210392530036,0.050108885414346
"V7340",2,0.963212817384338,0.00181761268329269,0.050108885414346
"V15942",3,0.97345824266225,0.00181888762777396,0.050108885414346
"V36183",2,0.964777062609352,0.00182590602981339,0.050108885414346
"V20387",2,0.965633028098394,0.00182664436673236,0.050108885414346
"V8864",1,0.986106757560323,0.00183050585029795,0.050108885414346
"V3196",2,0.968646340120612,0.00184163125609692,0.050108885414346
"V32876",1,0.978397690612361,0.00184729349254956,0.050108885414346
"V37112",1,0.975276759235493,0.00185208458696808,0.050108885414346
"V34482",3,0.980986730043695,0.00185814352098708,0.050108885414346
"V33519",1,0.976288422782135,0.00188443937987448,0.050108885414346
"V4056",3,0.97217522419658,0.00189512858582967,0.050108885414346
"V2083",2,0.970382088185176,0.00189533413785294,0.050108885414346
"V32577",1,0.978472340235978,0.00190674608242416,0.050108885414346
"V2302",3,0.971692591221003,0.00190756709440505,0.050108885414346
"V31830",3,0.967448736448425,0.00190924418036893,0.050108885414346
"V43143",1,0.96996555012561,0.00191023994285425,0.050108885414346
"V34860",1,0.962441808596161,0.00192260775451783,0.050108885414346
"V735",2,0.962942941408114,0.00192576528501898,0.050108885414346
"V39793",1,0.97291915386149,0.00192826343521926,0.050108885414346
"V5710",2,0.963795527460239,0.00195037887234903,0.050108885414346
"V32970",1,0.965424400937324,0.00195758580368627,0.050108885414346
"V29025",1,0.980069706482624,0.00196242251700975,0.050108885414346
"V29579",1,0.973272524861878,0.00197769322396063,0.050108885414346
"V6155",1,0.969967225951978,0.00198057953013059,0.050108885414346
"V408",1,0.965635823346532,0.00198318813468017,0.050108885414346
"V15929",1,0.965031600233288,0.00198380581588207,0.050108885414346
"V34055",3,0.968396565993902,0.00199397439578368,0.050108885414346
"V966",2,0.956963497645793,0.00200623016657432,0.050108885414346
"V40150",1,0.976316968203947,0.00200802972222039,0.050108885414346
"V31281",1,0.960250963837147,0.00203814053119719,0.050108885414346
